X,Y,OBJECTID,STOP_NAME,STOP_CODE,NAPTAN_ATCO,ROAD_NAME,ROUTES,LIVE_BUS_ARRIVAL,OS_EASTING,OS_NORTHING,POSTCODE,DATE_UPDATED
554255.000000626,191965.999999298,5237689,Harold Hill Community Centre,25618,490007827S,GOOSHAYS DRIVE,"256, 294, 499D, 608, 646",https://tfl.gov.uk/bus/stop/490007827S/,554255,191966,RM3 9FA,2024-12-11 00:00:00+00:00
528352.000000089,170805.999999551,5237690,Eastbourne Road,25660,490006319E,SOUTHCROFT ROAD,"57, 127, 333",https://tfl.gov.uk/bus/stop/490006319E/,528352,170806,SW17 9TN,2024-12-11 00:00:00+00:00
531229.000000064,161803.999999504,5237691,Russell Hill Road,25674,490011861,PURLEY WAY,"289, 439",https://tfl.gov.uk/bus/stop/490011861/,531229,161804,CR8 2JL,2024-12-11 00:00:00+00:00
531219.000000171,173821.999999525,5237692,Craignair Road,25685,490005366S,TULSE HILL,"2, 415, 432, N2",https://tfl.gov.uk/bus/stop/490005366S/,531219,173822,SW2 2QB,2024-12-11 00:00:00+00:00
546936.000000328,172628.999999279,5237693,Birchwood Avenue,25699,490004016E,FARADAY AVENUE,269,https://tfl.gov.uk/bus/stop/490004016E/,546936,172629,DA14 4JE,2024-12-11 00:00:00+00:00
552811.000000377,186015.99999918,5237694,Brian Close,25707,490004307E,ELM PARK AVENUE,"165, 365, 372",https://tfl.gov.uk/bus/stop/490004307E/,552811,186016,RM12 4RZ,2024-12-11 00:00:00+00:00
552786.000000378,185983.999999183,5237695,Brian Close,25708,490004307W,ELM PARK AVENUE,"165, 365, 372",https://tfl.gov.uk/bus/stop/490004307W/,552786,185984,RM12 4RY,2024-12-11 00:00:00+00:00
526360.000000137,193490.999999504,5237696,Swan Lane,9907,490013104N,WHETSTONE HIGH ROAD,"125, 263, 626, N20",https://tfl.gov.uk/bus/stop/490013104N/,526360,193491,N20 0PS,2024-12-11 00:00:00+00:00
526068.000000141,194884.999999505,5237697,Walfield Avenue,9918,490014131N,WHETSTONE HIGH ROAD,"34, 234, 263, 326, 626, 634, N20",https://tfl.gov.uk/bus/stop/490014131N/,526068,194885,N20 9PJ,2024-12-11 00:00:00+00:00
524722.000000066,196366.999999557,5237698,Fitzjohn Avenue,9926,490003634M,BARNET HIGH STREET,"34, UL58",https://tfl.gov.uk/bus/stop/490003634M/,524722,196367,EN5 5UW,2024-12-11 00:00:00+00:00
